merchant_id,merchant_name,city
adfee1d6-8c7d-49fa-8ac2-a2d5959471b2,Silver Commerce Collective,Houston
0e74626b-d8dd-4b49-9233-07676523b810,True Systems Inc,Columbus
b78c91b5-6383-4778-857e-378aac5c43bb,Atlas Bio Group,Houston
5db3acc6-e895-4cbe-9404-a14bd5c3a446,Ever Health Partners,Dallas
f8172044-765f-4859-925d-79a274bda14d,Cedar Supply Partners,Denver
56f3cee1-c1e7-4957-83b2-ead230a862d6,North Analytics Solutions,Phoenix
2b6e4880-e09c-4813-8e9b-3e0f878af801,Silver Logic Collective,Seattle
f8c1f2a0-846b-46af-b322-a1c91ad9d635,Silver Studio Co,Charlotte
01ee66c6-50aa-4f7c-ac02-899bd890db49,Ever Analytics Inc,Nashville
92a15cb5-1815-4c09-ae58-8ed370957b51,Summit Commerce Group,Houston
4534b8d3-6259-4e14-aa96-c168ef7dde10,Bright Capital Group,Charlotte
00492155-2699-47d0-8338-e2cee756ecbd,Modern Health Partners,Nashville
9099f955-abe4-473d-885c-7298b02984e9,Cedar Studio Inc,Seattle
95cd0d3a-ba49-4fee-a064-a83a73aba691,Quantum Capital Solutions,Houston
50042270-f1ac-424e-8c3f-dcd4731fc236,Ever Health Collective,Denver
6012dcf8-a1b9-4644-a6c8-995556e3d35c,True Studio Collective,Chicago
81159d9d-6abe-4afb-8f2b-f50c2af1e234,True Logic Inc,Jacksonville
1b0deb58-8d1b-4349-bfd6-edaf5ab301bf,Blue Cloud Solutions,San Jose
c3df1d72-fad6-4da9-ae44-9185ed208e5e,Vertex Supply Group,Austin
ebbf5586-8642-4c0a-b358-4278b4639fbe,True Commerce Collective,Austin
0fcffa3f-0d45-49d8-a53f-a2cd49d31ca3,Nova Analytics Collective,New York
d614b25c-22a7-455c-b6b8-b2e917464193,Bright Networks Co,Austin
0cfa6879-9cb8-4098-9748-31eea8317c04,Peak Cloud Inc,Nashville
d010ccda-fdeb-4b20-b4fb-0f5f1464770e,Blue Networks Solutions,Dallas
6650a4e1-b19b-4773-ba14-158193c2718d,Cedar Foods Inc,Philadelphia
97da5bf1-f7f8-49ea-868e-47dbbf0b0c33,Summit Bio Co,Portland
6010dbd2-40e5-4305-8ddc-6cf68898009e,Nova Foods Inc,Los Angeles
4e364e93-485b-4aab-b237-6a82922437dc,North Studio Partners,San Jose
4b46b170-68cc-4e45-a926-c51480e26ff2,Vertex Supply Partners,Austin
c27a183f-a55a-4317-94f5-c236e3c5b18e,Nova Analytics Group,San Jose
80f62799-104c-46f6-9570-a9abfab76d86,Prime Commerce Inc,Nashville
1bcf3f74-0b45-452d-9b43-74692a9a2ef0,Bright Capital Holdings,Dallas
92e47468-8511-454e-ba19-908fb856fa55,Peak Labs Holdings,Portland
1b9fccac-3ec7-4cfa-aaee-1b671ec2cd29,Modern Studio Partners,Los Angeles
28424500-888f-4539-a998-bb9a5b52b05b,Silver Health Partners,Charlotte
6ceb0345-ace4-450f-8d08-138f7b4e2cf4,Peak Analytics Group,Jacksonville
3b3027d9-f8b6-43e8-af82-81d7229b6849,Modern Logic Group,Phoenix
7b4377d5-adfc-450f-92a8-d715e291d96e,Blue Dynamics Collective,Phoenix
ca9a86d0-f434-4c59-854e-837f00eecddb,Cedar Cloud Group,Charlotte
1c9b142b-5737-4dda-a14f-5c2fbc24e780,Apex Cloud Collective,Fort Worth
3013e7e3-580c-4a64-8ba8-d8cd68d5a2f2,Cedar Systems Holdings,Fort Worth
97d4ff90-afec-4c39-a217-5cccd5780777,Prime Studio Collective,Los Angeles
47e6c36d-b418-4a86-ac42-9f0cc996b939,Silver Commerce Co,Jacksonville
75c39132-ff6a-40ee-b145-cae5a1920b92,Bright Works Partners,Portland
a59aa4a7-f92e-47e7-8bc9-5dac8fdf9f4f,Atlas Labs Group,New York
de1f47e8-30d2-42ab-98ed-15e253d8226f,Vertex Logic Collective,San Jose
b46272c1-0a07-4f01-9f5b-3b005a77b17d,Modern Studio Holdings,San Jose
1b176f94-6085-4bb1-b32c-1a965e6b3829,North Health Holdings,Boston
5ec571f1-d3d8-4ef7-a875-8845a1fb64f3,Vertex Retail Partners,Philadelphia
20d827f6-e865-45b9-9c27-4120f5bfdccc,Silver Cloud Inc,San Jose
527bd5f4-af1b-4098-86e1-39de70552a45,Summit Networks Solutions,Charlotte
2618f915-5ff3-416c-9d17-dbe43bc05309,Ever Networks Inc,Los Angeles
21fd2981-264a-4df9-9390-561932a3e47d,Summit Labs Inc,Denver
ed39e753-13b3-4653-ba60-ba7299d5a9dc,Ever Networks Group,Denver
fe5bc58f-0f53-4146-8131-8fc5335536f0,Nova Dynamics Inc,Charlotte
081097b7-35ff-49c0-a066-0fad6a489d03,Silver Foods Partners,Fort Worth
bb2e67e4-6d34-47d6-9959-b0eddfa37fc4,Nova Cloud Solutions,Charlotte
11a65469-ac85-48e6-9e72-bb1a9d195d3c,Modern Studio Inc,Seattle
17109eb7-cd19-4380-8e7f-fe63e949cf97,Peak Studio Co,Nashville
4bde34c5-5181-40b8-8a57-2b472aefa6a1,Summit Capital Group,Dallas
91a230f9-007d-4957-8c94-294f19764b88,Vertex Retail Group,San Jose
d2f07206-b16c-4e69-95a4-d0670a17c65f,Quantum Health Inc,Fort Worth
2ff0b730-a0ca-4460-8532-2fc561709b19,Prime Foods Inc,Houston
46acc1d2-58df-45a6-a29c-f5cc282774af,Nova Dynamics Solutions,Boston
f75fb1c2-6a00-45be-a1c2-2db28efdf0a7,Peak Studio Holdings,Seattle
a7467f31-601c-436e-8dc6-95ac62b35cf2,Ever Logic Collective,Fort Worth
098dd67f-d4c6-40fa-9f60-d998ae30ac2f,Prime Works Collective,San Antonio
8ef48d56-90ac-4d72-b55e-0b29fc0abba2,Apex Retail Partners,San Antonio
bb285934-6fa3-46ea-b68e-b3aeaa123570,Bright Dynamics Collective,Dallas
905d5a6d-79fc-4aeb-9ee1-b8631cefa4ec,Silver Health Collective,Columbus
382fb500-26f8-4133-b93d-b88dc59cc284,Modern Bio Solutions,Seattle
7ee2cdf4-d5f8-458b-9857-b8fba50d0328,Modern Supply Partners,Columbus
